date,open,high,low,close,volume
2015-01-05,2354,2341,2310,2339,55888
2015-01-06,2323,2378,2316,2369,89802
2015-01-07,2369,2435,2358,2400,232861
2015-01-08,2400,2430,2400,2415,14880
2015-01-09,2415,2479,2372,2430,693623
2015-01-12,2446,2508,2431,2461,368334
2015-01-13,2461,2566,2474,2522,416006
2015-01-14,2522,2519,2458,2476,300420
2015-01-15,2461,2460,2415,2430,244964
2015-01-16,2446,2455,2394,2430,374204
2015-01-19,2461,2489,2458,2461,230317
2015-01-20,2446,2476,2430,2446,75172
2015-01-21,2446,2456,2411,2430,205371
2015-01-22,2430,2531,2454,2492,300965
2015-01-23,2476,2675,2520,2614,1441874
2015-01-26,2614,2642,2612,2629,307006
2015-01-27,2644,2667,2529,2629,315651
2015-01-28,2614,2866,2661,2751,959871
2015-01-29,2751,2736,2676,2706,429009
2015-01-30,2690,2678,2572,2629,478259
2015-02-02,2614,2618,2543,2568,265344
2015-02-03,2568,2506,2358,2430,827865
2015-02-04,2415,2498,2421,2461,270500
2015-02-05,2461,2488,2442,2461,74461
2015-02-06,2461,2545,2313,2507,245283
2015-02-09,2507,2513,2437,2461,72974
2015-02-10,2446,2500,2439,2476,105679
2015-02-11,2476,2524,2479,2507,90914
2015-02-12,2507,2528,2497,2507,87911
2015-02-13,2522,2603,2512,2568,650359
2015-02-24,2583,2642,2581,2614,140871
2015-02-25,2629,2671,2581,2644,672279
2015-02-26,2644,2671,2609,2644,112327
2015-02-27,2660,2642,2581,2599,64375
2015-03-02,2629,2628,2583,2599,100838
2015-03-03,2629,2617,2572,2583,603931
2015-03-04,2599,2599,2568,2583,412425
2015-03-05,2583,2593,2562,2568,159152
2015-03-06,2568,2627,2565,2599,322073
2015-03-09,2599,2607,2562,2583,159821
2015-03-10,2583,2621,2590,2599,96698
2015-03-11,2599,2641,2595,2614,561767
2015-03-12,2583,2613,2536,2599,47908
2015-03-13,2599,2598,2567,2583,162894
2015-03-16,2599,2596,2566,2583,340462
2015-03-17,2583,2597,2582,2583,118588
2015-03-18,2339,2592,2333,2583,259352
2015-03-19,2599,2745,2578,2583,129073
2015-03-20,2583,2631,2600,2614,116347
2015-03-23,2599,2594,2579,2583,57431
2015-03-24,2583,2587,2556,2568,222685
2015-03-25,2568,2617,2586,2599,122734
2015-03-26,2599,2619,2588,2599,165791
2015-03-27,2599,2573,2543,2568,150742
2015-03-30,2553,2581,2551,2568,187169
2015-03-31,2568,2570,2539,2553,57640
2015-04-01,2553,2545,2500,2522,252663
2015-04-02,2522,2580,2534,2537,159003
2015-04-03,2537,2595,2549,2568,51215
2015-04-06,2568,2578,2563,2568,4952
2015-04-07,2568,2562,2532,2553,46793
2015-04-08,2537,2545,2529,2537,60778
2015-04-09,2537,2531,2501,2522,153488
2015-04-10,2522,2555,2524,2537,26605
2015-04-13,2553,2552,2536,2537,36940
2015-04-14,2522,2551,2521,2537,57719
2015-04-15,2522,2533,2502,2522,42101
2015-04-16,2522,2544,2498,2522,82523
2015-04-17,2522,2554,2523,2537,36935
2015-04-20,2522,2543,2512,2522,44975
2015-04-21,2522,2509,2479,2492,52353
2015-04-22,2492,2541,2495,2522,105481
2015-04-23,2522,2543,2497,2522,39006
2015-04-24,2507,2517,2471,2492,30752
2015-04-27,2553,2589,2558,2568,172955
2015-05-04,2583,2545,2469,2507,16816
2015-05-05,2492,2586,2508,2537,48513
2015-05-06,2537,2581,2520,2537,144990
2015-05-07,2522,2558,2512,2537,121436
2015-05-08,2553,2538,2508,2522,171291
2015-05-11,2537,2563,2533,2537,134947
2015-05-12,2522,2554,2508,2537,59695
2015-05-13,2522,2550,2489,2522,327269
2015-05-14,2507,2575,2514,2553,98453
2015-05-15,2585,2595,2547,2569,68959
2015-05-18,2569,2568,2520,2537,222564
2015-05-19,2569,2592,2544,2553,37354
2015-05-20,2537,2608,2528,2569,96071
2015-05-21,2601,2629,2581,2601,46433
2015-05-22,2601,2586,2539,2569,139779
2015-05-25,2616,2678,2629,2648,401035
2015-05-26,2648,2839,2677,2792,1612511
2015-05-27,2792,2938,2792,2872,833767
2015-05-28,2872,3170,2864,3047,1585442
2015-05-29,3031,3116,3036,3079,805676
2015-06-01,3031,3337,3078,3207,1006223
2015-06-02,3207,3179,3039,3111,1219764
2015-06-03,3111,3188,3123,3143,765768
2015-06-04,3143,3403,3146,3271,1126592
2015-06-05,3271,3537,3341,3446,1201275
2015-06-08,3446,3553,3351,3494,1163634
2015-06-09,3526,3585,3393,3494,1081395
2015-06-10,3446,3566,3436,3494,977147
2015-06-11,3478,3527,3355,3430,807912
2015-06-12,3446,3473,3346,3398,615109
2015-06-15,3398,3520,3423,3478,978956
2015-06-16,3510,3474,3304,3414,859613
2015-06-17,3382,3431,3335,3382,454521
2015-06-18,3382,3478,3367,3430,622294
2015-06-19,3446,3510,3430,3462,385535
2015-06-22,3430,3540,3428,3494,834327
2015-06-23,3494,3521,3458,3478,727502
2015-06-24,3510,3466,3371,3414,643475
2015-06-25,3669,3769,3432,3446,595957
2015-06-26,3430,3396,3272,3350,1009225
2015-06-29,3334,3360,3280,3318,858135
2015-06-30,3318,3354,3198,3271,915176
2015-07-01,3287,3336,3272,3302,508272
2015-07-02,3223,3554,3278,3462,1349683
2015-07-03,3478,3612,3468,3558,1760897
2015-07-06,3590,3799,3636,3733,2519437
2015-07-07,3733,3881,3657,3765,1754487
2015-07-08,3701,3767,3562,3653,1447415
2015-07-09,3606,3656,3576,3622,1152099
2015-07-10,3622,3663,3568,3622,682325
2015-07-13,3622,3675,3596,3638,609490
2015-07-14,3653,3744,3633,3701,2298523
2015-07-15,3733,3692,3565,3606,1158668
2015-07-16,3590,3628,3548,3590,744800
2015-07-17,3574,3544,3466,3510,743928
2015-07-20,3494,3546,3432,3478,1189236
2015-07-21,3430,3435,3309,3382,674566
2015-07-22,3717,3858,3477,3590,525766
2015-07-23,3622,3568,3427,3478,892399
2015-07-24,3478,3557,3462,3494,241877
2015-07-27,3558,3554,3490,3510,537838
2015-07-28,3590,3836,3424,3494,595210
2015-07-29,3462,3487,3440,3462,334121
2015-07-30,3446,3500,3420,3462,338803
2015-07-31,3478,3461,3430,3446,342128
2015-08-03,3446,3409,3236,3318,745685
2015-08-04,3350,3328,3265,3287,435108
2015-08-05,3287,3351,3303,3334,288442
2015-08-06,3350,3329,3249,3271,197343
2015-08-07,3271,3308,3244,3271,220667
2015-08-10,3271,3475,3328,3382,287468
2015-08-11,3398,3402,3292,3334,309493
2015-08-12,3334,3361,3234,3271,491840
2015-08-13,3255,3249,3170,3207,552126
2015-08-14,3207,3189,3125,3159,772335
2015-08-17,3159,3076,2890,2983,1125772
2015-08-18,2967,3100,2954,3031,521619
2015-08-19,3031,3125,2997,3063,362735
2015-08-20,3095,3053,2974,3015,182245
2015-08-21,2999,3070,2972,3015,851858
2015-08-24,3095,3161,2611,2728,1663746
2015-08-25,2744,2919,2692,2840,729322
2015-08-26,2872,2997,2884,2936,565316
2015-08-27,2951,3039,2926,2967,267961
2015-08-28,2967,3023,2975,2999,559810
2015-08-31,2999,2967,2872,2920,186590
2015-09-01,2936,2932,2868,2904,219234
2015-09-03,2904,2935,2871,2888,131193
2015-09-04,2840,2885,2822,2856,129860
2015-09-07,2856,2919,2855,2888,140700
2015-09-08,2888,3103,2939,3031,301747
2015-09-09,3047,3139,3075,3111,702756
2015-09-10,3063,3104,2993,3063,259986
