date,open,high,low,close,volume
2015-01-05,7267,7298,7207,7237,273550
2015-01-06,7192,7282,7161,7282,364050
2015-01-07,7282,7434,7282,7328,405560
2015-01-08,7313,7328,7237,7252,227300
2015-01-09,7252,7343,7252,7313,320210
2015-01-12,7313,7449,7313,7358,679050
2015-01-13,7328,7388,7328,7373,242060
2015-01-14,7373,7404,7298,7358,421120
2015-01-15,7388,7388,7328,7373,281910
2015-01-16,7388,7388,7328,7343,174340
2015-01-19,7343,7343,7267,7267,367020
2015-01-20,7267,7298,7252,7267,344010
2015-01-21,7298,7388,7298,7328,607260
2015-01-22,7358,7358,7298,7298,299200
2015-01-23,7328,7373,7298,7328,386280
2015-01-26,7328,7373,7328,7328,384170
2015-01-27,7313,7358,7267,7267,424160
2015-01-28,7252,7313,7237,7252,260670
2015-01-29,7252,7267,7237,7252,224460
2015-01-30,7267,7282,7192,7192,587470
2015-02-02,7207,7237,7161,7176,219410
2015-02-03,7176,7192,7116,7116,207170
2015-02-04,7176,7176,7070,7101,307040
2015-02-05,7116,7192,7101,7146,182990
2015-02-06,7192,7192,7146,7161,114380
2015-02-09,7222,7222,7146,7146,145540
2015-02-10,7146,7161,7116,7131,143310
2015-02-11,7161,7192,7146,7192,139400
2015-02-12,7252,7298,7237,7237,435120
2015-02-13,7267,7298,7237,7267,198830
2015-02-24,7298,7388,7298,7358,351850
2015-02-25,7388,7419,7328,7343,520900
2015-02-26,7328,7419,7328,7419,276700
2015-02-27,7434,7464,7373,7388,314940
2015-03-02,7419,7419,7328,7343,471270
2015-03-03,7388,7404,7358,7404,214540
2015-03-04,7449,7646,7449,7570,993500
2015-03-05,7646,7722,7570,7570,393540
2015-03-06,7570,7646,7555,7570,335140
2015-03-09,7555,7570,7449,7449,414700
2015-03-10,7494,7525,7464,7525,328390
2015-03-11,7525,7525,7479,7494,293150
2015-03-12,7494,7494,7434,7449,368140
2015-03-13,7494,7525,7434,7449,284450
2015-03-16,7449,7479,7449,7479,214490
2015-03-17,7494,7646,7494,7570,717570
2015-03-18,7570,7570,7510,7510,228430
2015-03-19,7555,7570,7494,7494,252430
2015-03-20,7494,7555,7479,7540,284340
2015-03-23,7540,7555,7479,7479,274890
2015-03-24,7494,7494,7388,7434,349040
2015-03-25,7494,7494,7419,7449,221110
2015-03-26,7479,7479,7449,7464,276070
2015-03-27,7510,7510,7449,7449,226880
2015-03-30,7479,7479,7328,7328,413070
2015-03-31,7328,7373,7328,7328,233260
2015-04-01,7373,7373,7222,7222,270910
2015-04-02,7237,7343,7222,7282,168030
2015-04-03,7343,7388,7282,7388,116640
2015-04-06,7388,7434,7343,7343,168170
2015-04-07,7328,7419,7328,7404,150220
2015-04-08,7419,7434,7388,7404,162560
2015-04-09,7404,7419,7343,7404,258950
2015-04-10,7404,7479,7388,7449,345170
2015-04-13,7449,7479,7434,7449,164060
2015-04-14,7449,7449,7373,7373,224290
2015-04-15,7404,7419,7343,7404,223010
2015-04-16,7404,7449,7373,7388,152830
2015-04-17,7404,7797,7404,7722,1497670
2015-04-20,7722,7722,7555,7646,358680
2015-04-21,7646,7722,7570,7570,263970
2015-04-22,7570,7722,7570,7570,539100
2015-04-23,7646,7722,7540,7646,641410
2015-04-24,7646,7722,7570,7646,268410
2015-04-27,7797,7949,7722,7797,636760
2015-05-04,7797,7873,7419,7479,818280
2015-05-05,7479,7646,7449,7570,444430
2015-05-06,7570,7646,7510,7510,406590
2015-05-07,7540,7646,7510,7555,263570
2015-05-08,7555,7646,7555,7555,241080
2015-05-11,7570,7570,7510,7525,229310
2015-05-12,7525,7525,7449,7449,253240
2015-05-13,7449,7464,7373,7449,471350
2015-05-14,7419,7510,7419,7464,284980
2015-05-15,7479,7510,7434,7434,222770
2015-05-18,7419,7449,7388,7388,493240
2015-05-19,7373,7449,7373,7449,261290
2015-05-20,7510,7722,7494,7722,1067870
2015-05-21,7722,8024,7646,7949,1966840
2015-05-22,7949,8024,7873,7873,639970
