date,open,high,low,close,volume
2015-01-05,3441,3506,3409,3441,207020
2015-01-06,3376,3474,3376,3474,260380
2015-01-07,3474,3506,3441,3441,232770
2015-01-08,3441,3474,3409,3441,107380
2015-01-09,3441,3506,3409,3506,409230
2015-01-12,3474,3571,3474,3506,695280
2015-01-13,3474,3506,3474,3506,77750
2015-01-14,3474,3506,3409,3506,229360
2015-01-15,3474,3539,3474,3506,199440
2015-01-16,3474,3474,3441,3441,220730
2015-01-19,3441,3474,3409,3409,293800
2015-01-20,3409,3441,3376,3441,146590
2015-01-21,3441,3474,3409,3474,628920
2015-01-22,3474,3474,3409,3441,258970
2015-01-23,3441,3441,3311,3344,1294880
2015-01-26,3344,3344,3234,3234,1167630
2015-01-27,3279,3311,3240,3279,1091760
2015-01-28,3311,3311,3234,3279,187910
2015-01-29,3279,3279,3188,3208,305240
2015-01-30,3208,3208,3104,3104,790190
2015-02-02,3104,3169,3084,3084,193890
2015-02-03,3084,3117,3032,3032,456170
2015-02-04,3006,3065,2928,2935,603690
2015-02-05,2922,2928,2857,2915,972680
2015-02-06,2980,3032,2967,2987,202240
2015-02-09,2987,3019,2909,2909,368440
2015-02-10,2922,3019,2863,3006,700570
2015-02-11,3006,3143,3006,3143,382460
2015-02-12,3149,3208,3117,3169,328920
2015-02-13,3169,3221,3149,3195,337680
2015-02-24,3201,3201,3149,3201,416880
2015-02-25,3162,3195,3143,3143,487940
2015-02-26,3143,3169,3084,3110,645750
2015-02-27,3097,3097,3032,3058,1111170
2015-03-02,3026,3058,2993,3000,635450
2015-03-03,3013,3071,3013,3058,670000
2015-03-04,3058,3084,3052,3058,324080
2015-03-05,3065,3104,3065,3071,752710
2015-03-06,3071,3071,3045,3065,296850
2015-03-09,3078,3182,3078,3156,1110350
2015-03-10,3156,3182,3110,3117,924780
2015-03-11,3104,3156,3084,3084,485870
2015-03-12,3058,3084,3032,3039,750130
2015-03-13,3039,3058,3013,3019,472400
2015-03-16,3019,3019,2915,2928,1037700
2015-03-17,2928,2980,2922,2922,640370
2015-03-18,2941,2948,2883,2896,1092640
2015-03-19,2889,2909,2824,2857,1270400
2015-03-20,2857,3006,2844,3006,2188020
2015-03-23,3006,3006,2922,2922,1140180
2015-03-24,2889,2909,2863,2876,804400
2015-03-25,2863,2889,2850,2857,765950
2015-03-26,2850,2889,2844,2850,498620
2015-03-27,2850,2876,2844,2850,253180
2015-03-30,2863,2883,2844,2857,685590
2015-03-31,2857,2876,2857,2863,668940
2015-04-01,2863,2896,2850,2857,573070
2015-04-02,2857,2870,2837,2863,450390
2015-04-03,2870,2928,2857,2915,1033520
2015-04-06,2909,2915,2876,2883,271760
2015-04-07,2870,2909,2870,2883,469470
2015-04-08,2896,2896,2870,2870,334680
2015-04-09,2870,2902,2870,2870,397900
2015-04-10,2876,2889,2870,2870,388880
2015-04-13,2896,2896,2870,2870,201090
2015-04-14,2870,2889,2870,2876,422120
2015-04-15,2883,2954,2883,2922,1231840
2015-04-16,2935,2961,2915,2915,725910
2015-04-17,2902,3019,2902,2961,982040
2015-04-20,2954,2961,2922,2928,375410
