date,open,high,low,close,volume
2015-01-05,9815,9815,9548,9637,18030
2015-01-06,9637,9637,9458,9637,37970
2015-01-07,9548,9637,9458,9458,10590
2015-01-08,9548,9637,9458,9548,47040
2015-01-09,9458,9726,9458,9726,46170
2015-01-12,9637,9904,9637,9815,104230
2015-01-13,9815,10261,9815,10261,290500
2015-01-14,10172,10618,10172,10618,244240
2015-01-15,10707,10797,10618,10707,76470
2015-01-16,10707,10707,10351,10351,116950
2015-01-19,10529,10529,10261,10529,155000
2015-01-20,10529,10797,10529,10707,170300
2015-01-21,10707,10797,10618,10707,132190
2015-01-22,10707,10707,10618,10618,48110
2015-01-23,10529,10707,10529,10707,83030
2015-01-26,10707,10707,10529,10529,69470
2015-01-27,10529,10707,10529,10618,74430
2015-01-28,10618,10886,10529,10886,153520
2015-01-29,10886,11154,10797,11154,189640
2015-01-30,11154,11243,10975,11064,106070
2015-02-02,11064,11064,10707,10707,63650
2015-02-03,10618,10797,10618,10707,24450
2015-02-04,10618,11064,10618,10975,95510
2015-02-05,10975,11243,10975,11243,157180
2015-02-06,11243,11421,11243,11332,90910
2015-02-09,11421,11600,11421,11511,153370
2015-02-10,11421,11600,11421,11421,117430
2015-02-11,11421,11600,11332,11600,256600
2015-02-12,11511,11600,11511,11600,59110
2015-02-13,11600,11600,11421,11600,15410
2015-02-24,11778,12403,11689,12403,312160
2015-02-25,12492,13206,12492,12581,121560
2015-02-26,12581,12760,12492,12671,98800
2015-02-27,12760,12760,11957,11957,90050
2015-03-02,11600,11689,11154,11421,101370
2015-03-03,11243,11689,11243,11421,153750
2015-03-04,11511,11600,11332,11511,108250
2015-03-05,11511,11511,11154,11243,144100
2015-03-06,11154,11154,10886,10975,71020
2015-03-09,10975,11600,10797,10975,42500
2015-03-10,10797,10975,10440,10440,58060
2015-03-11,10440,10440,9815,10172,78590
2015-03-12,10083,10707,10083,10618,33340
2015-03-13,11064,11243,10618,10618,55520
2015-03-16,10707,10707,10440,10440,18510
2015-03-17,10618,10707,10440,10529,60710
2015-03-18,10529,10618,10440,10529,860
2015-03-19,10529,10529,10351,10440,13300
2015-03-20,10618,10618,10351,10440,17360
2015-03-23,10440,10440,10172,10261,21570
2015-03-24,10440,10440,9994,10172,30000
2015-03-25,10351,10351,9994,10083,11140
2015-03-26,10083,10083,9815,9815,21600
2015-03-27,9815,9815,9548,9548,32530
2015-03-30,9548,9815,9548,9548,22330
2015-03-31,9637,9726,9548,9548,19830
2015-04-01,9726,9726,9458,9637,16950
2015-04-02,9548,9637,9548,9548,15600
2015-04-03,9548,9637,9458,9548,6960
2015-04-06,9548,9548,9369,9369,5750
2015-04-07,9369,9726,9369,9637,17110
2015-04-08,9548,9815,9548,9637,28090
2015-04-09,9637,9726,9548,9548,12240
2015-04-10,9815,9815,9548,9548,15410
2015-04-13,9637,9637,9548,9637,18220
2015-04-14,9458,9637,9458,9637,7010
2015-04-15,9548,9548,9548,9548,5810
2015-04-16,9637,9637,9458,9548,9680
2015-04-17,9548,9548,9458,9548,8490
2015-04-20,9548,9548,9369,9369,39410
2015-04-21,9369,9458,9369,9369,8400
2015-04-22,9369,9369,9280,9280,25120
2015-04-23,9280,9458,9280,9280,20810
2015-04-24,9458,9904,9369,9726,73060
2015-04-27,9994,10261,9726,9726,60120
2015-05-04,9815,9815,9548,9637,28400
2015-05-05,9458,9548,9280,9548,14490
2015-05-06,9548,9548,9369,9369,12450
2015-05-07,9369,9548,9280,9458,15350
2015-05-08,9458,9548,9369,9548,11670
2015-05-11,9548,9637,9369,9369,34870
2015-05-12,9280,9280,8744,9101,80020
2015-05-13,9146,9592,8923,9034,80660
2015-05-14,9034,9146,8421,8421,87470
2015-05-15,8142,8142,7863,7863,48430
2015-05-18,7863,8365,7863,8365,88500
2015-05-19,8700,8923,8700,8923,54280
2015-05-20,9481,9536,9313,9425,203290
2015-05-21,9034,9369,8811,8979,28050
2015-05-22,8979,8979,8533,8923,48530
2015-05-25,8923,8923,8588,8644,40120
2015-05-26,8756,9146,8756,8923,39350
2015-05-27,8923,8923,8756,8867,13100
2015-05-28,8979,8979,8811,8811,33840
2015-05-29,8811,8811,8477,8700,44560
2015-06-01,8700,8756,8588,8588,14950
2015-06-02,8533,8588,8309,8477,37200
2015-06-03,8533,8533,8254,8309,19990
2015-06-04,8309,8421,8309,8365,12250
2015-06-05,8309,8588,8309,8588,29500
2015-06-08,8700,8700,8533,8533,21110
2015-06-09,8644,8644,8365,8533,34680
2015-06-10,8533,8756,8365,8365,26060
2015-06-11,8309,8421,8309,8365,8910
2015-06-12,8421,8421,8309,8365,25770
2015-06-15,8309,8421,8254,8254,34330
2015-06-16,8254,8309,8198,8254,16820
2015-06-17,8198,8254,8142,8142,11460
2015-06-18,8142,8198,8086,8142,5590
2015-06-19,8086,8198,8086,8086,12680
2015-06-22,8031,8086,7975,8031,48910
2015-06-23,7975,7975,7808,7808,56380
2015-06-24,7808,8309,7808,8309,121970
2015-06-25,8309,8421,8198,8198,30790
2015-06-26,8198,8533,8142,8365,92010
2015-06-29,8254,8254,8142,8198,46030
2015-06-30,8198,8309,8198,8198,48540
2015-07-01,8198,8254,8142,8198,34230
2015-07-02,8254,8254,8198,8198,32680
2015-07-03,8198,8365,8198,8254,73910
2015-07-06,8254,8309,8254,8254,94930
2015-07-07,8309,8365,8254,8254,92510
2015-07-08,8254,8309,8198,8309,39430
2015-07-09,8254,8309,8198,8309,32370
2015-07-10,8198,8309,8198,8309,25440
2015-07-13,8309,8309,8142,8142,30630
2015-07-14,8142,8198,8142,8198,35180
2015-07-15,8198,8198,8031,8142,24970
2015-07-16,8198,8198,8142,8198,9980
2015-07-17,8198,8198,8086,8142,17560
2015-07-20,8031,8142,8031,8142,23330
2015-07-21,8031,8031,7919,7975,40090
2015-07-22,7975,8031,7919,7919,40710
2015-07-23,7919,7975,7863,7919,40140
2015-07-24,8086,8421,7975,8365,227840
2015-07-27,8365,8365,8142,8254,42600
2015-07-28,8365,8365,8198,8198,34250
2015-07-29,8142,8198,8086,8086,49360
2015-07-30,8086,8142,8031,8086,29900
2015-07-31,8031,8142,7975,7975,74200
2015-08-03,8086,8086,7919,7975,71520
2015-08-04,8031,8031,7919,7919,51930
2015-08-05,7919,8031,7919,8031,9750
2015-08-06,7975,7975,7919,7975,27680
2015-08-07,7919,7975,7919,7919,36940
2015-08-10,7975,8086,7919,8031,82730
2015-08-11,8031,8031,7975,8031,26040
2015-08-12,8031,8031,7863,7919,52570
2015-08-13,7863,7975,7863,7919,29990
2015-08-14,7919,7975,7863,7919,42450
2015-08-17,7919,7975,7808,7863,20860
2015-08-18,7919,7919,7752,7808,21390
2015-08-19,7808,7808,7529,7640,51420
2015-08-20,7584,7584,7306,7306,67300
2015-08-21,7306,7306,6915,7194,89090
2015-08-24,6971,6971,6692,6748,145040
2015-08-25,6748,7083,6581,6971,93890
2015-08-26,6971,7083,6971,6971,43160
2015-08-27,7194,7250,7027,7083,139070
2015-08-28,7083,7306,7083,7194,112350
2015-08-31,7417,7584,7250,7361,88610
2015-09-01,7473,7473,7194,7194,31320
2015-09-03,7083,7083,6971,7083,32900
2015-09-04,7083,7083,6971,7027,23030
2015-09-07,7027,7027,6804,6804,40620
2015-09-08,6804,7027,6804,6915,12500
2015-09-09,7027,7027,6804,6859,19790
2015-09-10,6804,6915,6748,6859,25500
2015-09-11,6859,6859,6804,6804,25830
2015-09-14,6859,6859,6692,6748,18880
2015-09-15,6748,6748,6581,6581,51120
2015-09-16,6581,6636,6525,6581,47720
2015-09-17,6804,6804,6636,6692,17070
2015-09-18,6804,6804,6748,6748,37310
2015-09-21,6748,7083,6748,7083,77340
2015-09-22,7194,7194,6971,7027,43100
2015-09-23,7027,7027,6915,6971,18580
2015-09-24,6971,6971,6859,6859,14000
2015-09-25,6915,6915,6859,6915,34470
2015-09-28,6859,6915,6804,6859,25880
2015-09-29,6748,6804,6748,6748,12490
2015-09-30,6804,6915,6748,6804,35050
2015-10-01,6804,6859,6748,6859,18210
2015-10-02,6859,6915,6804,6859,23650
2015-10-05,6915,6971,6804,6971,56170
2015-10-06,7027,7361,7027,7250,132300
2015-10-07,7361,7529,7306,7361,132400
2015-10-08,7473,7863,7473,7808,180880
2015-10-09,7808,7808,7473,7584,100870
2015-10-12,7584,7640,7361,7417,115070
2015-10-13,7361,7752,7306,7473,137020
2015-10-14,7473,7696,7473,7529,65500
2015-10-15,7529,7696,7529,7640,154090
2015-10-16,7640,7975,7584,7808,283290
2015-10-19,7919,7919,7752,7863,86440
2015-10-20,7863,7863,7640,7696,111340
2015-10-21,7696,7696,7473,7473,122980
2015-10-22,7417,7640,7417,7584,83430
2015-10-23,7529,7696,7529,7584,57590
2015-10-26,7640,7696,7529,7584,72600
2015-10-27,7529,7584,7473,7529,53190
2015-10-28,7473,7584,7473,7584,58040
2015-10-29,7640,8086,7640,8086,581760
2015-10-30,8142,8365,8142,8254,359290
2015-11-02,8254,8254,8031,8142,203870
2015-11-03,8086,8198,7919,8198,244920
2015-11-04,8198,8254,8142,8142,134640
2015-11-05,8142,8477,8031,8365,207670
2015-11-06,8309,8309,8086,8142,121410
2015-11-09,8198,8365,8031,8254,205020
2015-11-10,8198,8254,8086,8198,174100
2015-11-11,8198,8254,8142,8254,69900
2015-11-12,8254,8477,8254,8477,459340
2015-11-13,8477,8811,8477,8700,290520
2015-11-16,8644,8923,8588,8867,340740
2015-11-17,8867,8923,8644,8700,310040
2015-11-18,8644,8756,8588,8756,70270
2015-11-19,8756,8756,8644,8700,113010
2015-11-20,8700,8867,8700,8811,211960
2015-11-23,8979,9090,8923,9034,224070
2015-11-24,9034,9258,8979,9146,264330
2015-11-25,9146,9258,8923,9202,163740
2015-11-26,9258,9258,9034,9034,199810
2015-11-27,9034,9090,8588,8644,383380
2015-11-30,8588,8644,8309,8365,198970
2015-12-01,8365,8588,8309,8421,57370
2015-12-02,8365,8588,8365,8533,42420
2015-12-03,8477,8588,8421,8477,35740
2015-12-04,8365,8533,8254,8477,125740
2015-12-07,8477,8477,8365,8421,48280
