date,open,high,low,close,volume
2015-01-05,9317,9435,9229,9376,310010
2015-01-06,9376,9993,9376,9993,1684600
2015-01-07,10023,10170,9729,9876,1430340
2015-01-08,9905,10287,9876,10170,904240
2015-01-09,10258,10875,10258,10846,2286680
2015-01-12,10875,11110,10787,10934,3059730
2015-01-13,10875,10963,10728,10875,1496280
2015-01-14,10816,11198,10816,10992,2338820
2015-01-15,10934,11110,10816,10816,1083780
2015-01-16,10816,10816,10610,10669,678030
2015-01-19,10699,10934,10405,10405,922600
2015-01-20,10405,10610,10375,10581,802390
2015-01-21,10581,10581,10405,10405,536600
2015-01-22,10405,10846,10258,10640,1904310
2015-01-23,10728,11169,10669,10904,1369330
2015-01-26,10904,11022,10757,10757,498570
2015-01-27,10728,10816,10434,10669,1039610
2015-01-28,10669,11051,10581,10992,1341830
2015-01-29,10992,10992,10816,10846,591880
2015-01-30,10816,10816,10463,10493,1161160
2015-02-02,10434,10610,10405,10493,608170
2015-02-03,10463,10522,9787,9787,1492700
2015-02-04,9552,9787,9376,9729,1365870
2015-02-05,9846,10287,9846,10258,814650
2015-02-06,10287,10581,10287,10581,688720
2015-02-09,10522,10787,10434,10640,1011240
2015-02-10,10699,10846,10669,10699,592970
2015-02-11,10699,10963,10669,10904,531780
2015-02-12,10992,10992,10669,10669,578600
2015-02-13,10669,10816,10669,10728,388300
2015-02-24,10875,11463,10787,11463,1012520
2015-02-25,11433,11727,11198,11198,890900
2015-02-26,11316,11727,11286,11580,740750
2015-02-27,11610,11610,11139,11286,701990
2015-03-02,11257,11375,11081,11286,310940
2015-03-03,11257,11463,11169,11316,565220
2015-03-04,11404,11404,11198,11404,446280
2015-03-05,11375,11375,11139,11139,692720
2015-03-06,11110,11169,10787,10963,1411330
2015-03-09,10963,10963,10610,10699,1180460
2015-03-10,10610,10875,10610,10816,596890
2015-03-11,10816,10846,10699,10728,576700
2015-03-12,10699,10846,10699,10816,378150
2015-03-13,10875,10992,10787,10787,498020
2015-03-16,10287,10669,10287,10375,2068770
2015-03-17,10434,10610,10434,10493,600760
2015-03-18,10463,10552,10375,10522,305040
2015-03-19,10463,10463,10375,10434,1024340
2015-03-20,10375,10699,10375,10581,4058430
2015-03-23,10581,10640,10316,10346,989730
2015-03-24,10287,10405,10140,10375,1639950
2015-03-25,10316,10434,10287,10405,661510
2015-03-26,10258,10493,10258,10287,1339170
2015-03-27,10287,10463,10258,10375,1452040
2015-03-30,10316,10434,10316,10316,664600
2015-03-31,10316,10463,10287,10316,677180
2015-04-01,10316,10375,10228,10287,881700
2015-04-02,10287,10522,10258,10493,538520
2015-04-03,10493,10522,10434,10493,435220
2015-04-06,10434,10493,10434,10434,346120
2015-04-07,10434,10552,10316,10522,696080
2015-04-08,10493,10522,10405,10434,1039830
2015-04-09,10405,10640,10405,10522,532290
2015-04-10,10522,10699,10522,10581,566250
2015-04-13,10640,10699,10581,10699,666920
2015-04-14,10757,10787,10669,10699,1090910
2015-04-15,10669,10787,10669,10757,685160
2015-04-16,10757,11051,10728,10963,1034230
2015-04-17,10963,11081,10963,10992,918190
2015-04-20,11022,11022,10846,10963,526550
2015-04-21,10904,10963,10757,10787,685380
2015-04-22,10787,10904,10787,10875,669760
